timestamp,acceleration,pressure,model_displacement,model_velocity,barometer_height,true_displacement,true_velocity,barometer_levels,stages
0.0,0.00248147,102.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.104,0.0026065782,102.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.208,0.0022645295,102.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.312,0.0021615122,102.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.416,0.0024022069,102.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0.0019939542,102.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.624,0.0021555778,102.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.728,0.0020116195,102.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.832,0.0019277595,102.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.936,0.0017506331,102.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.04,0.002500262,102.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.144,0.002207471,102.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.248,0.0019767098,102.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.352,-0.32778212,102.223,1.6229314392163607,0.2529549114368858,1.321942076352725,1.5220242147709286,0.37088793409593607,0.0,1.0
1.456,0.0026047993,102.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.56,0.0024634767,102.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.664,0.001862729,102.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.768,0.0026258025,102.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.872,0.0019659493,102.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.976,0.0020232573,102.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.08,0.0022777524,102.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.288,0.0019422248,102.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.392,0.0024900679,102.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.496,0.0020649172,102.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6,0.0024001002,102.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.704,0.0016081855,102.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.808,0.0015124865,102.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.912,0.0019805096,102.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.016,0.0023540538,102.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.12,0.0016437694,102.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.224,0.0015764013,102.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.328,0.0027437266,102.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.432,0.0017720219,102.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.536,0.0019308086,102.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.64,0.0017659627,102.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.744,0.0020673797,102.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.848,0.002382828,102.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.952,0.0014720466,102.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.056,0.0022791177,102.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.16,0.0025850069,102.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.264,0.0020039175,102.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.368,0.0025591962,102.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.472,0.0021987967,102.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.576,0.002127977,102.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.68,0.0024307594,102.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
